usd_cleaning_fee,f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type
12,House,Private room,flexible,Real Bed,Hackney,25,NA,2,1,100,1,1,0.18,15,1,1,167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,25,Hackney,flexible,Private room,House
10,House,Private room,moderate,Real Bed,Hackney,40,100,2,2,92,18,1,0.33,10,2,1,1611,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,40,Hackney,moderate,Private room,House
50,House,Entire home/apt,strict,Real Bed,Hackney,160,100,7,2,98,9,4,0.23,20,3,7,1161,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,160,Hackney,strict,Entire home/apt,House
NA,Apartment,Private room,flexible,Real Bed,Hackney,30,NA,1,1.5,NA,0,1,NA,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Hackney,flexible,Private room,Apartment
NA,Apartment,Private room,moderate,Real Bed,Hackney,33,NA,2,0.5,NA,0,1,NA,10,15,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,33,Hackney,moderate,Private room,Apartment
NA,Apartment,Private room,flexible,Real Bed,Hackney,34,NA,2,1,97,7,1,0.41,15,2,1,509,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,34,Hackney,flexible,Private room,Apartment
25,Apartment,Entire home/apt,flexible,Real Bed,Hackney,90,100,2,1,98,13,1,0.9,0,3,1,433,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,90,Hackney,flexible,Entire home/apt,Apartment
NA,Apartment,Private room,moderate,Real Bed,Hackney,59,100,2,1,92,66,1,1.94,15,2,2,1022,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,59,Hackney,moderate,Private room,Apartment
25,House,Entire home/apt,moderate,Real Bed,Hackney,150,63,5,1,98,19,4,0.84,25,2,2,679,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,150,Hackney,moderate,Entire home/apt,House
20,Apartment,Entire home/apt,flexible,Real Bed,Hackney,100,NA,4,1,NA,0,2,NA,50,1,4,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,100,Hackney,flexible,Entire home/apt,Apartment
NA,Apartment,Entire home/apt,strict,Real Bed,Hackney,75,67,3,1,93,23,2,0.72,20,2,1,959,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,75,Hackney,strict,Entire home/apt,Apartment
NA,Apartment,Entire home/apt,moderate,Real Bed,Hackney,100,NA,6,1,NA,0,1,NA,0,14,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,100,Hackney,moderate,Entire home/apt,Apartment
40,House,Entire home/apt,moderate,Real Bed,Hackney,215,81,4,1,94,33,4,1.02,30,2,4,973,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,215,Hackney,moderate,Entire home/apt,House
10,House,Entire home/apt,moderate,Real Bed,Hackney,35,NA,2,2,100,1,2,0.07,20,6,1,424,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,35,Hackney,moderate,Entire home/apt,House
